"name","roles","services","address","city","email","phones","contact_person","website","notes"
"Ozo Solar Limited","supplier+installer","Solar panel installation (on/off-grid), energy storage, maintenance, CCTV, solar street lighting, solar water pumps, construction","JRCG+RM, Accra, Greater Accra, Ghana","Accra","info@ozosolar.com","+233 240 818 849","","https://www.ozosolar.com/","Self-styled 'Ghana's Premier Solar Company'. Wholesale + retail."
"Translight Solar Ltd","installer","Solar systems installation (residential, commercial, industrial). Ghana Climate Innovation Center alumni.","98 Boundary Rd, Accra, Greater Accra, Ghana","Accra","","+233 50 424 9229 | +233 20 654 2454","Iddrisu Fawuziya (Sales & Marketing) — verify via LinkedIn","https://translightsolar.com/","Marketed as 'Africa's most trusted'. Strong commercial pipeline."
"Optima Solar Systems Limited","supplier+installer","Panel sales + installation, hybrid/off-grid/on-grid inverters, lithium + gel batteries, 3kW/5kW/10kW home kits, commercial systems, solar pumps + irrigation, smart home, PAYG financing, solar insurance","33 Sir Arku Korsah Road, Airport Residential Area, Accra","Accra (also Kumasi, Takoradi, Cape Coast, Tamale)","","+233 53 519 1141 | +233 54 667 4681 | +233 53 519 1143 | +233 50 502 3472","","https://optimasolarsystems.com/","Multi-city footprint. Ships internationally (UK orders mentioned)."
"Deep Solar Ghana","installer","Solar installation for homes & businesses, off-grid systems, system sizing, instant quotes, maintenance. Has a mobile quote app.","UPSA Road, Madina, Accra","Accra","deepsolarghana@gmail.com","+233 595 494 113 | +233 302 556 225","","https://www.deepsolarghana.com/","Energy Commission of Ghana certified. Already builds a quote tool — likely receptive to a design SaaS."
"Nocheski & Co Limited","supplier+installer","Design + install of solar systems (residential/commercial/industrial); inverters, charge controllers (MPPT/PWM), mono/poly panels, AGM/GEL batteries, Chauvin Arnoux test instruments, solar irrigation consultancy","Tesano: 10 Abeka Road, Tesano Commercial Plaza, NO. C10, Accra | Tema: TDA/TMA shop #139, Community 2 Shopping Centre","Accra (Tesano) + Tema","","+233 244 270 092 | +233 264 270 092 | +233 303 211 743","","https://nocheski.com/","Victron Energy, Fronius and Jinko partner. Multi-location, well-stocked. Top BOQ-fulfillment partner candidate."
"Franerix Solar Solutions Limited","supplier+installer","Solar energy products (end-user, retail, wholesale), deep-cycle batteries, panels, system installation","House No. C4 Kiwi Drive, Emef's Lagoon View Estate, Lashibi, Accra","Accra (Lashibi)","","+233 50 423 7071 | +233 20 300 0001 | +233 30 340 5379 | +233 50 885 6084","","https://www.fex.franerix.com/ (cert expired — also at https://www.franerix.com/)","In business since 2007. Mon-Fri 08:00-17:00, Sat 08:00-14:00. Long track record."
"Solar Mate Ghana","supplier+installer","Customised energy + water-treatment solutions for homes, businesses, institutions; supplier + installer","Nii Aku Mensah Ave, Accra","Accra","info@solarmatesystemsgh.com","+233 59 701 7816 | +233 50 832 0470","","https://solarmatesystemsgh.com/","Cross-sells water treatment — useful for off-grid integrated projects."
"Suka Wind and Solar Ltd (Suka Solar Ghana)","supplier+installer","Installation, energy storage leasing, electrical wiring, site inspection + energy surveys, monitoring, solar academy + training, project consultancy, equipment sales","Odorkor Terrazzo Road, Ablekuma, GA-557-5979, Accra","Accra (Odorkor)","info@suka.com.gh / sales@suka.com.gh","+233 302 328 860 | +233 505 519 982 | +233 266 313 666","","https://suka.com.gh/","Runs a training academy — culturally aligned with a design SaaS."
"Dyson Energy Solar","supplier+installer","Solar panels + batteries for homes and businesses; commercial energy solutions","Odaw Ave, Awudome Estate, Kaneshie, Accra | No. 4 Accra City Car Park, Bishop Lamaire Lk, High Street, Accra-Central","Accra","info@dysonenergysolar.com","+233 24 207 3784","","https://dysonenergysolar.com/","Mon-Fri 09:00-17:00. Two Accra locations."
"Supply Master","supplier","Managed marketplace + procurement platform for verified suppliers; mono/poly panels, tools, building materials, electrical/IT/auto categories","Accra (specific street not published)","Accra","","+233 540 715 156 (WhatsApp)","","https://supplymaster.store/","E-commerce only — no install. Strong fit for BOQ pricing API integration."
"Maypatronic (Volant Digital Ltd)","supplier","Inverter batteries, lithium batteries, solar panels + systems, inverters, charge controllers, electronics; consultation","No fixed Ghana office published — delivers to main cities","Ghana-wide (HQ appears to be Nigerian)","","+234 701 779 6300","","https://maypatronic.com/","Nigerian phone code (+234) — confirm Ghana presence before invite. Marketed as competitive on price."
"Vantom Power","supplier","Tubular / lithium-ion / deep-cycle batteries, hybrid inverters, polycrystalline + frameless panels, charge controllers, automotive batteries","Odorkor Terrazzo Road, Ablekuma, Accra | 98 Boundary Road East, Legon, Accra (verify — addresses overlap with other listings)","Accra","export@vantom.in","+91 98219 96991 | +91 72918 09220 | +91 97173 97621","","https://vantompower.com/","Indian battery brand sold in Ghana via local distributors (likely Suka). Treat Indian phones as parent-company export desk."
"Measurements","installer","Solar panel installation, electrical engineering, energy storage, system maintenance, energy audits, commercial projects","Accra (street not published)","Accra","info@measurementsolar.com","+233 508 382 728","","https://measurementsolar.com/","Pitches commercial/industrial scale — schools, hospitals, industrial sites."
"Energy Precisions","installer","Turn-key solar — design, installation, equipment supply, maintenance — for residential, commercial, industrial, agricultural","Accra (street not published)","Accra","","","","https://energyprecisions.com/","Site is JS-rendered — phone/email need a manual visit before invite."
"Electricons Ghana Company Ltd (EGCL)","installer","Solar panel installation, maintenance, hybrid energy systems for homes, offices, industries","Accra (operates Greater Accra, Ashanti, Western, Northern)","Accra","","","","https://www.electriconsgh.org/","Site blocks scraping (403) — manual contact form fill needed before invite."
